test_accuracy,training_time,train_samples,test_samples,num_features,max_depth,num_models,model_name,order,snp_size,dataset_id
0.5866666666666667,67.00138664245605,3400,600,50,10,8,model1,2,50,0
0.62,85.46994876861572,3400,600,50,10,8,model1,2,50,1
0.575,85.36848616600037,3400,600,100,10,8,model1,2,100,0
0.6033333333333334,79.00022006034851,3400,600,100,10,8,model1,2,100,1
0.5933333333333334,157.5878827571869,3400,600,500,10,8,model1,2,500,0
0.5883333333333334,134.8086655139923,3400,600,500,10,8,model1,2,500,1
0.6,248.06885623931885,3400,600,1000,12,8,model1,2,1000,0
0.6216666666666667,241.004061460495,3400,600,1000,12,8,model1,2,1000,1
0.6033333333333334,302.6043555736542,3400,600,2000,12,8,model1,2,2000,0
0.5716666666666667,213.69216442108154,3400,600,2000,12,8,model1,2,2000,1
0.5883333333333334,319.3628706932068,3400,600,5000,12,8,model1,2,5000,0
0.6133333333333333,176.9119095802307,3400,600,5000,12,8,model1,2,5000,1
0.5466666666666666,22.623806715011597,3400,600,50,10,8,model1,3,50,0
0.515,22.163756132125854,3400,600,50,10,8,model1,3,50,1
0.5233333333333333,23.884323120117188,3400,600,100,10,8,model1,3,100,0
0.52,23.37111186981201,3400,600,100,10,8,model1,3,100,1
0.53,42.3875572681427,3400,600,500,10,8,model1,3,500,0
0.5266666666666666,46.385685205459595,3400,600,500,10,8,model1,3,500,1
0.555,66.65636944770813,3400,600,1000,12,8,model1,3,1000,0
0.51,74.1872866153717,3400,600,1000,12,8,model1,3,1000,1
0.4816666666666667,117.3466546535492,3400,600,2000,12,8,model1,3,2000,0
0.5,106.31794834136963,3400,600,2000,12,8,model1,3,2000,1
0.5083333333333333,157.51315331459045,3400,600,5000,12,8,model1,3,5000,0
0.5266666666666666,120.9897141456604,3400,600,5000,12,8,model1,3,5000,1
