================================================================================
MODEL1 EVALUATION RESULTS SUMMARY
================================================================================
Evaluation Date: 2026-01-15 12:25:26
Approach: Multi-seed ensemble (5 RF + 3 ET) with best seed=494
Adaptive depth: d=10 for SNPs<=500, d=12 otherwise

Total datasets tested: 24
Average accuracy: 0.5509 (55.09%)
Best accuracy: 0.6517 (65.17%)
Worst accuracy: 0.4850 (48.50%)

Order 2 average: 0.5881 (58.81%) - 4/12 >= 60%
Order 3 average: 0.5138 (51.38%) - 0/12 >= 60%

----------------------------------------------------------------------
Per-dataset results:
Dataset                                       Accuracy       
----------------------------------------------------------------------
order2/snps50/dataset_0                       0.6167 (61.67%) GOOD
order2/snps50/dataset_1                       0.6517 (65.17%) GOOD
order2/snps100/dataset_0                      0.5750 (57.50%) 
order2/snps100/dataset_1                      0.6033 (60.33%) GOOD
order2/snps500/dataset_0                      0.5933 (59.33%) 
order2/snps500/dataset_1                      0.5883 (58.83%) 
order2/snps1000/dataset_0                     0.5917 (59.17%) 
order2/snps1000/dataset_1                     0.5133 (51.33%) 
order2/snps2000/dataset_0                     0.6067 (60.67%) GOOD
order2/snps2000/dataset_1                     0.5567 (55.67%) 
order2/snps5000/dataset_0                     0.5650 (56.50%) 
order2/snps5000/dataset_1                     0.5950 (59.50%) 
order3/snps50/dataset_0                       0.5117 (51.17%) 
order3/snps50/dataset_1                       0.5083 (50.83%) 
order3/snps100/dataset_0                      0.5283 (52.83%) 
order3/snps100/dataset_1                      0.5283 (52.83%) 
order3/snps500/dataset_0                      0.5100 (51.00%) 
order3/snps500/dataset_1                      0.5167 (51.67%) 
order3/snps1000/dataset_0                     0.5067 (50.67%) 
order3/snps1000/dataset_1                     0.5100 (51.00%) 
order3/snps2000/dataset_0                     0.5367 (53.67%) 
order3/snps2000/dataset_1                     0.5067 (50.67%) 
order3/snps5000/dataset_0                     0.5167 (51.67%) 
order3/snps5000/dataset_1                     0.4850 (48.50%) 
