test_accuracy,training_time,train_samples,test_samples,num_features,model_name,model_type,order,snp_size,dataset_id
0.5916666666666667,1.365523099899292,3400,600,50,model2,Weak Marginal,2,50,0
0.6133333333333333,1.4142260551452637,3400,600,50,model2,Weak Marginal,2,50,1
0.6283333333333333,1.7546515464782715,3400,600,100,model2,Weak Marginal,2,100,0
0.6,1.6776046752929688,3400,600,100,model2,Weak Marginal,2,100,1
0.5883333333333334,3.1311182975769043,3400,600,500,model2,Weak Marginal,2,500,0
0.5566666666666666,2.9836983680725098,3400,600,500,model2,Weak Marginal,2,500,1
0.565,4.1215550899505615,3400,600,1000,model2,Weak Marginal,2,1000,0
0.6116666666666667,4.237265348434448,3400,600,1000,model2,Weak Marginal,2,1000,1
0.5933333333333334,5.879555940628052,3400,600,2000,model2,Weak Marginal,2,2000,0
0.5833333333333334,5.949102878570557,3400,600,2000,model2,Weak Marginal,2,2000,1
0.5483333333333333,10.174736738204956,3400,600,5000,model2,Weak Marginal,2,5000,0
0.5916666666666667,9.909384489059448,3400,600,5000,model2,Weak Marginal,2,5000,1
0.515,1.4558420181274414,3400,600,50,model2,Weak Marginal,3,50,0
0.5316666666666666,1.4315156936645508,3400,600,50,model2,Weak Marginal,3,50,1
0.5333333333333333,1.7539939880371094,3400,600,100,model2,Weak Marginal,3,100,0
0.5683333333333334,1.8471059799194336,3400,600,100,model2,Weak Marginal,3,100,1
0.52,2.9097414016723633,3400,600,500,model2,Weak Marginal,3,500,0
0.5266666666666666,3.0250136852264404,3400,600,500,model2,Weak Marginal,3,500,1
0.5133333333333333,4.1587746143341064,3400,600,1000,model2,Weak Marginal,3,1000,0
0.505,4.175442934036255,3400,600,1000,model2,Weak Marginal,3,1000,1
0.495,5.844693183898926,3400,600,2000,model2,Weak Marginal,3,2000,0
0.5466666666666666,5.719832420349121,3400,600,2000,model2,Weak Marginal,3,2000,1
0.5183333333333333,9.79142141342163,3400,600,5000,model2,Weak Marginal,3,5000,0
0.5033333333333333,9.766149044036865,3400,600,5000,model2,Weak Marginal,3,5000,1
