test_accuracy,training_time,train_samples,test_samples,num_features,max_depth,num_models,model_name,model_type,order,snp_size,dataset_id
0.595,18.929664134979248,3400,600,50,8,7,model2,Weak Marginal,2,50,0
0.6133333333333333,15.1772620677948,3400,600,50,8,7,model2,Weak Marginal,2,50,1
0.615,12.324654579162598,3400,600,100,8,7,model2,Weak Marginal,2,100,0
0.5983333333333334,12.422029495239258,3400,600,100,8,7,model2,Weak Marginal,2,100,1
0.5833333333333334,25.598917961120605,3400,600,500,10,7,model2,Weak Marginal,2,500,0
0.5466666666666666,25.734418153762817,3400,600,500,10,7,model2,Weak Marginal,2,500,1
0.545,42.098461627960205,3400,600,1000,12,7,model2,Weak Marginal,2,1000,0
0.5866666666666667,41.767786741256714,3400,600,1000,12,7,model2,Weak Marginal,2,1000,1
0.6216666666666667,60.068203926086426,3400,600,2000,12,7,model2,Weak Marginal,2,2000,0
0.5866666666666667,61.093090534210205,3400,600,2000,12,7,model2,Weak Marginal,2,2000,1
0.5766666666666667,106.59283685684204,3400,600,5000,12,7,model2,Weak Marginal,2,5000,0
0.5683333333333334,106.42819118499756,3400,600,5000,12,7,model2,Weak Marginal,2,5000,1
0.5233333333333333,10.249324083328247,3400,600,50,8,7,model2,Weak Marginal,3,50,0
0.525,10.320065021514893,3400,600,50,8,7,model2,Weak Marginal,3,50,1
0.5483333333333333,12.316507577896118,3400,600,100,8,7,model2,Weak Marginal,3,100,0
0.575,12.284619092941284,3400,600,100,8,7,model2,Weak Marginal,3,100,1
0.5183333333333333,25.49465775489807,3400,600,500,10,7,model2,Weak Marginal,3,500,0
0.49833333333333335,25.899932146072388,3400,600,500,10,7,model2,Weak Marginal,3,500,1
0.5133333333333333,47.3805992603302,3400,600,1000,12,7,model2,Weak Marginal,3,1000,0
0.49166666666666664,41.46270394325256,3400,600,1000,12,7,model2,Weak Marginal,3,1000,1
0.49166666666666664,59.274454832077026,3400,600,2000,12,7,model2,Weak Marginal,3,2000,0
0.48833333333333334,73.80051875114441,3400,600,2000,12,7,model2,Weak Marginal,3,2000,1
0.51,146.41466641426086,3400,600,5000,12,7,model2,Weak Marginal,3,5000,0
0.5166666666666667,132.35180521011353,3400,600,5000,12,7,model2,Weak Marginal,3,5000,1
