model_name,model_type,test_accuracy,rf1_accuracy,rf2_accuracy,et_accuracy,gb_accuracy,training_time,num_features_original,num_features_final,train_samples,test_samples,order,snp_size,dataset_id
model5,Pure Epistasis,0.615,0.63,0.6166666666666667,0.6166666666666667,0.5866666666666667,4.39661979675293,50,150,3400,600,2,50,0
model5,Pure Epistasis,0.605,0.6116666666666667,0.6033333333333334,0.61,0.5866666666666667,4.146910667419434,50,150,3400,600,2,50,1
model5,Pure Epistasis,0.615,0.61,0.61,0.6116666666666667,0.6183333333333333,4.262902736663818,100,150,3400,600,2,100,0
model5,Pure Epistasis,0.6283333333333333,0.635,0.6266666666666667,0.63,0.605,4.38044548034668,100,150,3400,600,2,100,1
model5,Pure Epistasis,0.6133333333333333,0.6183333333333333,0.615,0.6033333333333334,0.5916666666666667,10.730070352554321,500,150,3400,600,2,500,0
model5,Pure Epistasis,0.625,0.615,0.635,0.6066666666666667,0.6333333333333333,4.11669659614563,500,150,3400,600,2,500,1
model5,Pure Epistasis,0.6216666666666667,0.615,0.6333333333333333,0.6183333333333333,0.5966666666666667,4.7321600914001465,1000,150,3400,600,2,1000,0
model5,Pure Epistasis,0.5833333333333334,0.5983333333333334,0.605,0.5833333333333334,0.5683333333333334,4.494189500808716,1000,150,3400,600,2,1000,1
model5,Pure Epistasis,0.6066666666666667,0.6166666666666667,0.615,0.6283333333333333,0.5766666666666667,4.533485651016235,2000,150,3400,600,2,2000,0
model5,Pure Epistasis,0.5866666666666667,0.5916666666666667,0.6066666666666667,0.5883333333333334,0.5766666666666667,4.654616117477417,2000,150,3400,600,2,2000,1
model5,Pure Epistasis,0.5933333333333334,0.6,0.5933333333333334,0.575,0.6016666666666667,4.749582767486572,5000,150,3400,600,2,5000,0
model5,Pure Epistasis,0.6216666666666667,0.6233333333333333,0.6166666666666667,0.625,0.6183333333333333,14.451980352401733,5000,150,3400,600,2,5000,1
model5,Pure Epistasis,0.525,0.525,0.5166666666666667,0.5116666666666667,0.5233333333333333,3.4517810344696045,50,150,3400,600,3,50,0
model5,Pure Epistasis,0.5116666666666667,0.5083333333333333,0.5166666666666667,0.51,0.535,5.502486228942871,50,150,3400,600,3,50,1
model5,Pure Epistasis,0.5566666666666666,0.535,0.56,0.5433333333333333,0.5583333333333333,6.0837249755859375,100,150,3400,600,3,100,0
model5,Pure Epistasis,0.5216666666666666,0.5133333333333333,0.5233333333333333,0.5166666666666667,0.53,3.9660239219665527,100,150,3400,600,3,100,1
model5,Pure Epistasis,0.5583333333333333,0.5766666666666667,0.5733333333333334,0.5783333333333334,0.5433333333333333,4.3750388622283936,500,150,3400,600,3,500,0
model5,Pure Epistasis,0.5366666666666666,0.5083333333333333,0.5566666666666666,0.5316666666666666,0.5383333333333333,4.614839792251587,500,150,3400,600,3,500,1
model5,Pure Epistasis,0.53,0.5033333333333333,0.5333333333333333,0.5,0.5333333333333333,4.607382297515869,1000,150,3400,600,3,1000,0
model5,Pure Epistasis,0.49666666666666665,0.53,0.505,0.47333333333333333,0.5133333333333333,4.65379786491394,1000,150,3400,600,3,1000,1
model5,Pure Epistasis,0.5033333333333333,0.5066666666666667,0.4766666666666667,0.515,0.51,4.790295600891113,2000,150,3400,600,3,2000,0
model5,Pure Epistasis,0.49833333333333335,0.5,0.49833333333333335,0.5283333333333333,0.4866666666666667,7.824469566345215,2000,150,3400,600,3,2000,1
model5,Pure Epistasis,0.5366666666666666,0.5566666666666666,0.5383333333333333,0.5366666666666666,0.5283333333333333,4.797894477844238,5000,150,3400,600,3,5000,0
model5,Pure Epistasis,0.5233333333333333,0.5116666666666667,0.4716666666666667,0.5066666666666667,0.5266666666666666,4.909653663635254,5000,150,3400,600,3,5000,1
