test_accuracy,training_time,train_samples,test_samples,num_features,model_name,model_type,order,snp_size,dataset_id
0.655,2.710289716720581,3400,600,50,model5,Pure Epistasis,2,50,0
0.585,2.7371087074279785,3400,600,50,model5,Pure Epistasis,2,50,1
0.5866666666666667,3.4116218090057373,3400,600,100,model5,Pure Epistasis,2,100,0
0.6116666666666667,3.354738712310791,3400,600,100,model5,Pure Epistasis,2,100,1
0.5783333333333334,6.5000245571136475,3400,600,500,model5,Pure Epistasis,2,500,0
0.57,6.406397819519043,3400,600,500,model5,Pure Epistasis,2,500,1
0.6033333333333334,9.725661277770996,3400,600,1000,model5,Pure Epistasis,2,1000,0
0.56,9.573737382888794,3400,600,1000,model5,Pure Epistasis,2,1000,1
0.5816666666666667,15.075730323791504,3400,600,2000,model5,Pure Epistasis,2,2000,0
0.5683333333333334,14.971726179122925,3400,600,2000,model5,Pure Epistasis,2,2000,1
0.5566666666666666,27.79335618019104,3400,600,5000,model5,Pure Epistasis,2,5000,0
0.58,27.512131214141846,3400,600,5000,model5,Pure Epistasis,2,5000,1
0.5083333333333333,2.736138105392456,3400,600,50,model5,Pure Epistasis,3,50,0
0.5233333333333333,2.729231834411621,3400,600,50,model5,Pure Epistasis,3,50,1
0.5466666666666666,3.4939322471618652,3400,600,100,model5,Pure Epistasis,3,100,0
0.52,3.4286794662475586,3400,600,100,model5,Pure Epistasis,3,100,1
0.5433333333333333,6.355153322219849,3400,600,500,model5,Pure Epistasis,3,500,0
0.5333333333333333,6.444000720977783,3400,600,500,model5,Pure Epistasis,3,500,1
0.5183333333333333,9.294159650802612,3400,600,1000,model5,Pure Epistasis,3,1000,0
0.5233333333333333,9.158506631851196,3400,600,1000,model5,Pure Epistasis,3,1000,1
0.5083333333333333,14.557202577590942,3400,600,2000,model5,Pure Epistasis,3,2000,0
0.49666666666666665,14.567038297653198,3400,600,2000,model5,Pure Epistasis,3,2000,1
0.5016666666666667,27.197033882141113,3400,600,5000,model5,Pure Epistasis,3,5000,0
0.495,27.660192012786865,3400,600,5000,model5,Pure Epistasis,3,5000,1
