================================================================================
MODEL5 EVALUATION RESULTS SUMMARY (V2 - Optimized)
================================================================================
Evaluation Date: 2026-01-15 09:19:49
Model Type: Pure Epistasis
Best Approach: ExtraTrees (n=800, depth=12, mss=2)

Total datasets tested: 24
Average accuracy: 0.5523 (55.23%)
Best accuracy: 0.6550 (65.50%)
Worst accuracy: 0.4950 (49.50%)

Order 2 average: 0.5864 (58.64%)
Order 3 average: 0.5182 (51.82%)

----------------------------------------------------------------------
Per-dataset results:
Dataset                                       Accuracy       
----------------------------------------------------------------------
order2/snps50/dataset_0                       0.6550 (65.50%) GOOD
order2/snps50/dataset_1                       0.5850 (58.50%) 
order2/snps100/dataset_0                      0.5867 (58.67%) 
order2/snps100/dataset_1                      0.6117 (61.17%) GOOD
order2/snps500/dataset_0                      0.5783 (57.83%) 
order2/snps500/dataset_1                      0.5700 (57.00%) 
order2/snps1000/dataset_0                     0.6033 (60.33%) GOOD
order2/snps1000/dataset_1                     0.5600 (56.00%) 
order2/snps2000/dataset_0                     0.5817 (58.17%) 
order2/snps2000/dataset_1                     0.5683 (56.83%) 
order2/snps5000/dataset_0                     0.5567 (55.67%) 
order2/snps5000/dataset_1                     0.5800 (58.00%) 
order3/snps50/dataset_0                       0.5083 (50.83%) 
order3/snps50/dataset_1                       0.5233 (52.33%) 
order3/snps100/dataset_0                      0.5467 (54.67%) 
order3/snps100/dataset_1                      0.5200 (52.00%) 
order3/snps500/dataset_0                      0.5433 (54.33%) 
order3/snps500/dataset_1                      0.5333 (53.33%) 
order3/snps1000/dataset_0                     0.5183 (51.83%) 
order3/snps1000/dataset_1                     0.5233 (52.33%) 
order3/snps2000/dataset_0                     0.5083 (50.83%) 
order3/snps2000/dataset_1                     0.4967 (49.67%) 
order3/snps5000/dataset_0                     0.5017 (50.17%) 
order3/snps5000/dataset_1                     0.4950 (49.50%) 
