model_name,model_type,order,snp_size,dataset_id,test_accuracy
model6,Pure Epistasis,2,50,0,0.645
model6,Pure Epistasis,2,50,1,0.6433
model6,Pure Epistasis,2,100,0,0.62
model6,Pure Epistasis,2,100,1,0.6217
model6,Pure Epistasis,2,500,0,0.6233
model6,Pure Epistasis,2,500,1,0.6117
model6,Pure Epistasis,2,1000,0,0.62
model6,Pure Epistasis,2,1000,1,0.65
model6,Pure Epistasis,2,2000,0,0.6333
model6,Pure Epistasis,2,2000,1,0.6167
model6,Pure Epistasis,2,5000,0,0.6083
model6,Pure Epistasis,2,5000,1,0.6067
model6,Pure Epistasis,3,50,0,0.5183
model6,Pure Epistasis,3,50,1,0.5383
model6,Pure Epistasis,3,100,0,0.5167
model6,Pure Epistasis,3,100,1,0.535
model6,Pure Epistasis,3,500,0,0.5333
model6,Pure Epistasis,3,500,1,0.5167
model6,Pure Epistasis,3,1000,0,0.5233
model6,Pure Epistasis,3,1000,1,0.5467
model6,Pure Epistasis,3,2000,0,0.4883
model6,Pure Epistasis,3,2000,1,0.5
model6,Pure Epistasis,3,5000,0,0.5283
model6,Pure Epistasis,3,5000,1,0.4833
